State_Year,Population_18_24,Population_35_39,Population_45_49,Population_55_59,Population_75_79,Population_85_Over,Median_Income,White_Pop,Minority_Pop,Hispanic_Pop,Population_Density,Pres_Label
NV_2008,0.145215095,0.105320696,0.106916404,0.10053357,0.03829869,0.020745335,0.516918868,0.845004376,0.154995624,0.217499172,0.01747671,1
NH_2008,0.129524126,0.074777209,0.097477469,0.105489385,0.03338315,0.028042208,1.327722643,0.984953379,0.015046621,0.018774311,0.108554114,1
NJ_2008,0.119845844,0.086181355,0.096953949,0.094260839,0.032318084,0.029624822,2.175354049,0.692222595,0.307777405,0.147657983,0.762437536,1
NM_2008,0.148734707,0.086884715,0.086884715,0.098665968,0.041234034,0.023562507,-0.998258024,0.78029039,0.21970961,0.427635848,0.011766026,1
NY_2008,0.133936536,0.084380052,0.091076869,0.091076869,0.033484151,0.029466034,0.46304803,0.720003459,0.279996541,0.178954519,0.271403868,1
NC_2008,0.146906128,0.092550844,0.098427107,0.098427107,0.036726643,0.024974117,-0.657989793,0.781113642,0.218886358,0.060257104,0.130564322,1
ND_2008,0.169707467,0.078119166,0.076773163,0.091588302,0.03367375,0.030979923,-0.726877722,0.911429732,0.088570268,0.037604297,0.006840888,0
OH_2008,0.126521898,0.078576765,0.086567621,0.097222056,0.037290697,0.027968052,-0.486723436,0.866504985,0.133495015,0.021487148,0.194730813,1
OK_2008,0.145784646,0.087185087,0.082897,0.092902045,0.037160966,0.024297441,-1.103496851,0.832513247,0.167486753,0.062819096,0.03886584,0
OR_2008,0.129052705,0.091178703,0.086970362,0.095387043,0.036471693,0.029458028,-0.230002676,0.955862422,0.044137578,0.083829035,0.028942973,1
PA_2008,0.126948032,0.075375346,0.088599183,0.097855755,0.038348953,0.033059438,-0.166001261,0.883445368,0.116554632,0.040689311,0.211827139,1
RI_2008,0.141728672,0.075333705,0.088101084,0.090655528,0.030644855,0.034474705,0.294046156,0.824447636,0.175552364,0.088479834,0.530511865,1
SC_2008,0.146183682,0.088289276,0.092631229,0.096973482,0.037631558,0.0246054,-0.881935154,0.724045321,0.275954679,0.03682858,0.107128187,0
SD_2008,0.146453521,0.078970531,0.080406052,0.099072885,0.035896461,0.034460939,-0.697320272,0.915580208,0.084419792,0.018407665,0.007191717,0
TN_2008,0.13479042,0.08845636,0.092668548,0.095476529,0.036505908,0.022465141,-1.011249001,0.830496981,0.169503019,0.031599979,0.112291594,0
TX_2008,0.160023666,0.106682483,0.098838174,0.094131589,0.031377235,0.020395203,-0.243827935,0.903164326,0.096835674,0.320092494,0.065154777,0
UT_2008,0.187827486,0.118016015,0.086433922,0.083109997,0.031582092,0.018284132,0.563161976,0.942040568,0.057959432,0.105614412,0.020910005,0
VT_2008,0.137364478,0.069979028,0.085530153,0.107559017,0.033693759,0.027213952,0.001927965,0.950132658,0.049867342,0.01355527,0.050344169,1
VA_2008,0.143589775,0.091897532,0.097641095,0.0947694,0.033025705,0.024410274,1.086376525,0.721922546,0.278077454,0.06281601,0.139545163,1
WA_2008,0.138369123,0.095128759,0.092246082,0.098011641,0.031709654,0.0259443,0.713452077,0.864140029,0.135859971,0.079595817,0.069651746,1
WV_2008,0.120734778,0.076115465,0.085302316,0.098425476,0.041995106,0.027559133,-1.73612164,0.937182025,0.062817975,0.009184723,0.059242606,0
WI_2008,0.132839131,0.08216853,0.090385525,0.098602283,0.035606426,0.030128588,0.000974498,0.925999706,0.074000294,0.042865335,0.065046652,1
WY_2008,0.146110948,0.098403543,0.083493064,0.10585623,0.031311494,0.02087518,0.314664861,0.999734562,0.000265438,0.077349702,0.003658808,0
AL_2004,0.13386139,0.089543745,0.099862032,0.079234835,0.035260351,0.019195648,-1.184418101,0.758605997,0.241394003,0.025346766,0.06465187,0
AK_2004,0.150649356,0.117406614,0.093269788,0.103835549,0.027822659,0.016179027,1.32059926,0.848483518,0.151516482,0.042019371,0.000135003,0
AZ_2004,0.17049926,0.111885602,0.10725498,0.106469936,0.060966564,0.032831118,-0.082336718,0.986521678,0.013478322,0.221733157,0.036036206,0
AR_2004,0.140752093,0.092731072,0.089809227,0.095830859,0.047521418,0.027458112,-1.477963142,0.871269661,0.128730339,0.037302536,0.03832588,0
CA_2004,0.147342632,0.108452448,0.10080369,0.097488595,0.038286591,0.028621448,0.947313631,0.603816478,0.396183522,0.447279621,0.159499183,1
CO_2004,0.156237696,0.120267249,0.1087544,0.107057639,0.039064819,0.025837473,0.982366264,0.847070865,0.152929135,0.153164607,0.032374417,0
CT_2004,0.131536247,0.081763472,0.089754172,0.099557015,0.0429717,0.03351279,2.064180248,0.911313547,0.088686453,0.091587333,0.477926321,1
